#LIBRARY    ENDF/B-VII.1
#REACTION   N-14(N,P)C-14,SIG
#NUCLEUS    N-14
#MF         3
#MT         103
#E,eV        Sig,b        Interpolation
 1.67E+06    0.016578     Lin-Lin
 1.675E+06   0.016303     Lin-Lin
 1.68E+06    0.016026     Lin-Lin
 1.685E+06   0.015748     Lin-Lin
 1.69E+06    0.01547      Lin-Lin
 1.695E+06   0.015194     Lin-Lin
 1.7E+06     0.014918     Lin-Lin
 1.705E+06   0.014645     Lin-Lin
 1.71E+06    0.014374     Lin-Lin
 1.715E+06   0.014106     Lin-Lin
 1.72E+06    0.013841     Lin-Lin
 1.725E+06   0.013579     Lin-Lin
 1.73E+06    0.01332      Lin-Lin
 1.735E+06   0.013065     Lin-Lin
 1.74E+06    0.012815     Lin-Lin
 1.745E+06   0.012571     Lin-Lin
 1.75E+06    0.012336     Lin-Lin
 1.755E+06   0.01212      Lin-Lin
 1.76E+06    0.011936     Lin-Lin
 1.765E+06   0.011811     Lin-Lin
 1.77E+06    0.011787     Lin-Lin
 1.775E+06   0.011921     Lin-Lin
 1.78E+06    0.012245     Lin-Lin
 1.782E+06   0.012422     Lin-Lin
 1.784E+06   0.012615     Lin-Lin
 1.786E+06   0.012814     Lin-Lin
 1.788E+06   0.013008     Lin-Lin
 1.79E+06    0.013185     Lin-Lin
 1.795E+06   0.013511     Lin-Lin
 1.8E+06     0.013647     Lin-Lin
 1.805E+06   0.013636     Lin-Lin
 1.81E+06    0.01354      Lin-Lin
 1.815E+06   0.013403     Lin-Lin
 1.82E+06    0.013255     Lin-Lin
 1.825E+06   0.013109     Lin-Lin
 1.83E+06    0.012972     Lin-Lin
 1.835E+06   0.012845     Lin-Lin
 1.84E+06    0.01273      Lin-Lin
 1.845E+06   0.012627     Lin-Lin
 1.85E+06    0.012534     Lin-Lin
 1.855E+06   0.012451     Lin-Lin
 1.86E+06    0.012376     Lin-Lin
 1.865E+06   0.012309     Lin-Lin
 1.87E+06    0.012249     Lin-Lin
 1.875E+06   0.012195     Lin-Lin
 1.88E+06    0.012147     Lin-Lin
 1.885E+06   0.012103     Lin-Lin
 1.89E+06    0.012064     Lin-Lin
 1.895E+06   0.012029     Lin-Lin
